name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.v[X],axes.mach.l.v[Y],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.v[X],axes.mach.f.v[Y]
units,sec,mm,mm,mm/min,mm/min,mm,mm,mm/min,mm/min
166,   0.502000,   -1074.864745,   -1265.607119,      -0.031498,     -63.650992,   -1075.118661,   -1265.604615,       0.000000,       0.000000
167,   0.503000,   -1074.864745,   -1265.608311,      -0.061419,     -83.135976,   -1075.098157,   -1265.604615,       0.000000,       0.000000
168,   0.504000,   -1074.864745,   -1265.609860,      -0.110689,    -105.218939,   -1075.078726,   -1265.604615,       0.000000,       0.000000
169,   0.505000,   -1074.864745,   -1265.611768,      -0.187462,    -129.899872,   -1075.060368,   -1265.604615,       0.000000,       0.000000
170,   0.506000,   -1074.864745,   -1265.614152,      -0.301920,    -157.178706,   -1075.043321,   -1265.604615,       0.000000,       0.000000
171,   0.507000,   -1074.864745,   -1265.617013,      -0.466494,    -187.055413,   -1075.027347,   -1265.604615,       0.000000,       0.000000
172,   0.508000,   -1074.864864,   -1265.620470,      -0.696087,    -219.529895,   -1075.012445,   -1265.604615,       0.000000,       0.000000
173,   0.509000,   -1074.864864,   -1265.624404,      -1.008306,    -254.602013,   -1074.998736,   -1265.604615,       0.000000,       0.000000
174,   0.510000,   -1074.864864,   -1265.628934,      -1.423679,    -292.271543,   -1074.985862,   -1265.604615,       0.000000,       0.000000
175,   0.511000,   -1074.864864,   -1265.634179,      -1.965885,    -332.538178,   -1074.974060,   -1265.604615,       0.000000,       0.000000
176,   0.512000,   -1074.864864,   -1265.640020,      -2.661976,    -375.401555,   -1074.962974,   -1265.604615,       0.000000,       0.000000
177,   0.513000,   -1074.864984,   -1265.646696,      -3.542603,    -420.861086,   -1074.952841,   -1265.604615,       0.000000,       0.000000
178,   0.514000,   -1074.864984,   -1265.654087,      -4.642241,    -468.916018,   -1074.943781,   -1265.604615,       0.000000,       0.000000
179,   0.515000,   -1074.865103,   -1265.662313,      -5.999407,    -519.565344,   -1074.935317,   -1265.604615,       0.000000,       0.000000
180,   0.516000,   -1074.865222,   -1265.671372,      -7.656894,    -572.807807,   -1074.927688,   -1265.604615,       0.000000,       0.000000
181,   0.517000,   -1074.865341,   -1265.681386,      -9.661983,    -628.641732,   -1074.920774,   -1265.604615,       0.000000,       0.000000
182,   0.518000,   -1074.865580,   -1265.692353,     -12.066672,    -687.065050,   -1074.914575,   -1265.604615,       0.000000,       0.000000
183,   0.519000,   -1074.865818,   -1265.704393,     -14.927899,    -748.075079,   -1074.908972,   -1265.604615,       0.000000,       0.000000
184,   0.520000,   -1074.866056,   -1265.717387,     -18.307753,    -811.668579,   -1074.904203,   -1265.604615,       0.000000,       0.000000
185,   0.521000,   -1074.866414,   -1265.731454,     -22.273703,    -877.841469,   -1074.900389,   -1265.604734,       0.000000,       0.000000
186,   0.522000,   -1074.866772,   -1265.746593,     -26.898807,    -946.588889,   -1074.897647,   -1265.604734,       0.000000,       0.000000
187,   0.523000,   -1074.867249,   -1265.762925,     -32.261938,   -1017.904915,   -1074.895263,   -1265.604854,       0.000000,       0.000000
188,   0.524000,   -1074.867845,   -1265.780568,     -38.447982,   -1091.782227,   -1074.892759,   -1265.604973,       0.000000,       0.000000
189,   0.525000,   -1074.868560,   -1265.799403,     -45.548055,   -1168.212444,   -1074.889779,   -1265.605092,       0.000000,       0.000000
190,   0.526000,   -1074.869394,   -1265.819550,     -53.659711,   -1247.185171,   -1074.886680,   -1265.605211,       0.000000,       0.000000
191,   0.527000,   -1074.870348,   -1265.841007,     -62.887142,   -1328.688562,   -1074.883819,   -1265.605450,       0.000000,       0.000000
192,   0.528000,   -1074.871540,   -1265.863776,     -73.341366,   -1412.708536,   -1074.881434,   -1265.605688,       0.000000,       0.000000
193,   0.529000,   -1074.872851,   -1265.888095,     -85.140432,   -1499.228440,   -1074.879646,   -1265.606046,       0.000000,       0.000000
194,   0.530000,   -1074.874401,   -1265.913844,     -98.409571,   -1588.229053,   -1074.878335,   -1265.606403,       0.000000,       0.000000
195,   0.531000,   -1074.876070,   -1265.941024,    -113.281421,   -1679.688357,   -1074.877262,   -1265.606999,       0.000000,       0.000000
196,   0.532000,   -1074.878097,   -1265.969753,    -129.896142,   -1773.580648,   -1074.876308,   -1265.607595,       0.000000,       0.000000
197,   0.533000,   -1074.880481,   -1266.000152,    -148.401582,   -1869.876310,   -1074.875355,   -1265.608430,       0.000000,       0.000000
198,   0.534000,   -1074.883103,   -1266.032100,    -168.953449,   -1968.542039,   -1074.874163,   -1265.609384,       0.000000,       0.000000
199,   0.535000,   -1074.886084,   -1266.065836,    -191.715388,   -2069.539055,   -1074.873090,   -1265.610576,       0.000000,       0.000000
200,   0.536000,   -1074.889541,   -1266.101122,    -216.859113,   -2172.823995,   -1074.872136,   -1265.611887,       0.000000,       0.000000
201,   0.537000,   -1074.893355,   -1266.138196,    -244.564489,   -2278.347462,   -1074.871182,   -1265.613556,       0.000000,       0.000000
