name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.p[C],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.p[C]
units,sec,mm,mm,deg,mm,mm,deg
5728,   8.057000,     694.968879,    1273.966432,      71.319756,     725.770891,    1267.152309,      79.009634
5729,   8.058000,     694.184124,    1274.193883,      71.119755,     724.962175,    1267.288566,      78.809537
5730,   8.059000,     693.400204,    1274.423838,      70.919753,     724.154592,    1267.427206,      78.609508
5731,   8.060000,     692.617059,    1274.655938,      70.719758,     723.346651,    1267.568231,      78.409363
5732,   8.061000,     691.834748,    1274.890423,      70.519757,     722.538888,    1267.711401,      78.209040
5733,   8.062000,     691.053212,    1275.127292,      70.319755,     721.731305,    1267.856836,      78.008772
5734,   8.063000,     690.272510,    1275.366426,      70.119753,     720.925212,    1268.004775,      77.808477
5735,   8.064000,     689.492702,    1275.607944,      69.919752,     720.120132,    1268.155336,      77.608257
5736,   8.065000,     688.713729,    1275.851607,      69.719757,     719.315469,    1268.308282,      77.408132
5737,   8.066000,     687.935591,    1276.097775,      69.519755,     718.511343,    1268.463850,      77.207905
5738,   8.067000,     687.158287,    1276.346087,      69.319754,     717.707396,    1268.621802,      77.007910
5739,   8.068000,     686.381876,    1276.596785,      69.119752,     716.903269,    1268.782139,      76.807922
5740,   8.069000,     685.606360,    1276.849747,      68.919757,     716.099739,    1268.944979,      76.608051
5741,   8.070000,     684.831679,    1277.104974,      68.719756,     715.297282,    1269.110322,      76.408247
5742,   8.071000,     684.057951,    1277.362585,      68.519754,     714.495897,    1269.277930,      76.208580
5743,   8.072000,     683.285117,    1277.622461,      68.319753,     713.695347,    1269.447803,      76.008715
5744,   8.073000,     682.513177,    1277.884603,      68.119758,     712.894499,    1269.619942,      75.808939
5745,   8.074000,     681.742132,    1278.149009,      67.919756,     712.094069,    1269.794345,      75.609033
5746,   8.075000,     680.972040,    1278.415680,      67.719755,     711.294472,    1269.971132,      75.409387
5747,   8.076000,     680.202901,    1278.684616,      67.519753,     710.496128,    1270.150423,      75.209323
5748,   8.077000,     679.434657,    1278.955817,      67.319758,     709.699094,    1270.331979,      75.009404
5749,   8.078000,     678.667367,    1279.229403,      67.119757,     708.901525,    1270.515919,      74.809163
5750,   8.079000,     677.901089,    1279.505134,      66.919755,     708.104432,    1270.702243,      74.609025
5751,   8.080000,     677.135706,    1279.783130,      66.719754,     707.307696,    1270.890951,      74.408750
5752,   8.081000,     676.371336,    1280.063510,      66.519752,     706.511617,    1271.081805,      74.208469
5753,   8.082000,     675.607979,    1280.346036,      66.319757,     705.716848,    1271.275043,      74.008317
5754,   8.083000,     674.845576,    1280.630827,      66.119756,     704.922080,    1271.470547,      73.808035
5755,   8.084000,     674.084127,    1280.917883,      65.919754,     704.127908,    1271.668792,      73.607945
5756,   8.085000,     673.323750,    1281.207204,      65.719752,     703.335106,    1271.869302,      73.407765
5757,   8.086000,     672.564328,    1281.498671,      65.519758,     702.543199,    1272.072315,      73.207716
5758,   8.087000,     671.805978,    1281.792521,      65.319756,     701.751709,    1272.277951,      73.008206
5759,   8.088000,     671.048641,    1282.088518,      65.119754,     700.960159,    1272.485495,      72.808355
5760,   8.089000,     670.292318,    1282.386661,      64.919753,     700.170219,    1272.695541,      72.608674
